,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,72.98347325325012,1.0,1742927900.6042767,200.0,69.29819793701172,0.0,69.29819793701172
std,12.624014296460999,0.0,129.1587934178649,0.0,40.970337351019,0.0,40.970337351019
min,55.06005859375,1.0,1742927740.6294286,200.0,18.500411987304688,0.0,18.500411987304688
25%,69.59821963310242,1.0,1742927816.006491,200.0,44.420623779296875,0.0,44.420623779296875
50%,71.93490290641785,1.0,1742927901.8994532,200.0,62.74609375,0.0,62.74609375
75%,78.9788670539856,1.0,1742927975.4156616,200.0,103.65332794189452,0.0,103.65332794189452
max,89.34531807899475,1.0,1742928069.070349,200.0,117.1705322265625,0.0,117.1705322265625
