,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,39.15415959358215,1.0,1743268515.138227,87.8,89.62088241577149,24.6,114.22088241577148
std,5.734347222110917,0.0,73.86687499779022,27.280029325497434,46.9532458160021,55.00727224649483,22.02239742481799
min,30.08722710609436,1.0,1743268419.6475842,39.0,12.45956039428711,0.0,87.68658447265625
25%,38.19021224975586,1.0,1743268469.436529,100.0,87.68658447265625,0.0,93.27794647216795
50%,39.373865842819214,1.0,1743268517.9235609,100.0,93.27794647216795,0.0,126.35120391845705
75%,43.73213481903076,1.0,1743268561.6245043,100.0,126.35120391845705,0.0,128.32911682128906
max,44.38735795021057,1.0,1743268607.0589578,100.0,128.32911682128906,123.0,135.4595603942871
