,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,43.179701042175296,1.0,1742933589.787515,67.0,52.71554679870606,0.0,52.71554679870606
std,7.634480205857859,0.0,81.31624834916664,0.0,27.10638737395773,0.0,27.10638737395773
min,31.13178849220276,1.0,1742933488.0230114,67.0,15.687318801879885,0.0,15.687318801879885
25%,41.864896297454834,1.0,1742933536.4383554,67.0,46.13570785522461,0.0,46.13570785522461
50%,43.45493149757385,1.0,1742933589.338261,67.0,49.03693008422851,0.0,49.03693008422851
75%,49.202226638793945,1.0,1742933643.6203864,67.0,62.33937454223633,0.0,62.33937454223633
max,50.244662284851074,1.0,1742933691.5175602,67.0,90.37840270996094,0.0,90.37840270996094
