,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,57.7451895236969,1.0,1743251437.4121323,26.4,28.863100624084474,0.0,28.863100624084474
std,10.353149753422558,0.0,98.23425806484529,0.5477225575051661,15.896022211818522,0.0,15.896022211818522
min,41.718459129333496,1.0,1743251310.1824183,26.0,8.597428321838379,0.0,8.597428321838379
25%,54.88136339187622,1.0,1743251384.0103383,26.0,18.93622779846191,0.0,18.93622779846191
50%,60.02010774612427,1.0,1743251431.2676992,26.0,27.72994041442871,0.0,27.72994041442871
75%,62.853142976760864,1.0,1743251498.548388,27.0,42.33964920043945,0.0,42.33964920043945
max,69.25287437438965,1.0,1743251563.0518167,27.0,46.712257385253906,0.0,46.712257385253906
