,_runtime,_step,_timestamp,number of actions,reward from observations,terminal reward,total reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,32.91025947999999,0.0,1743679199.5129523,172.6,92.81709251403808,27.4,120.21709251403809
std,4.962706206226629,0.0,53.84816659822887,61.268262583494234,48.98361879226235,61.268262583494234,23.473387570262695
min,24.4099971,0.0,1743679130.6164525,63.0,11.03322410583496,0.0,95.3595733642578
25%,32.7635281,0.0,1743679164.4566884,200.0,95.3595733642578,0.0,96.0051040649414
50%,34.9659371,0.0,1743679200.5416503,200.0,96.0051040649414,0.0,130.4611053466797
75%,35.8255978,0.0,1743679238.2256508,200.0,130.4611053466797,0.0,131.22645568847656
max,36.5862373,0.0,1743679263.724319,200.0,131.22645568847656,137.0,148.03322410583496
