,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,81.68993954658508,1.0,1742929074.06888,89.6,61.72728042602539,21.0,82.72728042602539
std,49.50937724940461,0.0,154.6788455391628,23.255106965997815,35.625764029709735,46.95742752749558,35.9296355565933
min,28.778361320495605,1.0,1742928845.4638584,48.0,20.14144515991211,0.0,30.80046844482422
25%,69.20465445518494,1.0,1742929012.4752257,100.0,30.80046844482422,0.0,69.32476043701172
50%,70.30395245552063,1.0,1742929094.5871189,100.0,69.32476043701172,0.0,83.54955291748047
75%,76.65468788146973,1.0,1742929171.0714204,100.0,83.54955291748047,0.0,104.82017517089844
max,163.50804162025452,1.0,1742929246.7467763,100.0,104.82017517089844,105.0,125.14144515991212
