,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,42.37925338745117,1.0,1743270087.0336833,25.2,68.95260772705078,0.0,68.95260772705078
std,12.625538806671052,0.0,82.90713945477971,0.4472135954999579,18.14013804477012,0.0,18.14013804477012
min,29.177425861358643,1.0,1743269984.309867,25.0,41.77913284301758,0.0,41.77913284301758
25%,36.96286416053772,1.0,1743270034.9182851,25.0,59.31813430786133,0.0,59.31813430786133
50%,37.86449980735779,1.0,1743270079.241582,25.0,78.48633575439453,0.0,78.48633575439453
75%,45.40052819252014,1.0,1743270146.6584618,25.0,79.25774383544922,0.0,79.25774383544922
max,62.49094891548157,1.0,1743270190.0402212,26.0,85.92169189453125,0.0,85.92169189453125
