,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,39.64658465385437,1.0,1743268120.9827027,200.0,130.61081237792968,0.0,130.61081237792968
std,1.6429144210158586,0.0,71.46474963851797,0.0,17.42271448449229,0.0,17.42271448449229
min,37.487738847732544,1.0,1743268030.5429995,200.0,108.62001037597656,0.0,108.62001037597656
25%,38.30849027633667,1.0,1743268075.886158,200.0,122.73223876953124,0.0,122.73223876953124
50%,40.39053201675415,1.0,1743268120.9531462,200.0,124.85215759277344,0.0,124.85215759277344
75%,40.986907958984375,1.0,1743268166.107726,200.0,147.83480834960938,0.0,147.83480834960938
max,41.05925416946411,1.0,1743268211.4234838,200.0,149.0148468017578,0.0,149.0148468017578
