name,_runtime,_step,_timestamp,_wandb,number of actions,reward from observations,terminal reward,total reward
72pmrwwoevalv3,17.8774904,0,1743680766.5454323,{'runtime': 17},200,93.41553497314452,0,93.41553497314452
hj6j34joevalv3,26.6261166,0,1743680794.344503,{'runtime': 26},200,76.93032836914062,0,76.93032836914062
nll3ppz2evalv3,21.9921001,0,1743680817.5435152,{'runtime': 21},76,20.657350540161133,124,144.65735054016113
u43ihdueevalv3,25.7868508,0,1743680844.8628802,{'runtime': 25},200,147.67498779296875,0,147.67498779296875
vghsmoxcevalv3,23.7772715,0,1743680869.8129349,{'runtime': 23},200,147.87994384765625,0,147.87994384765625
