name,Trajectory on real rc car,_runtime,_step,_timestamp,_wandb,number of actions,reward_from_observations,terminal_reward,total_reward
tpej7ka5_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_14d46bcfabed165161dc.png', 'sha256': '14d46bcfabed165161dc00f7a6b6eea6366163cd68b446afd8eaf8e113237fec', 'size': 224918, 'width': 2400}",33.50693488121033,1,1743269488.0998888,{'runtime': 32},50,103.3886260986328,0,103.3886260986328
syavy5xd_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_6ce37c55d120d08d4c5e.png', 'sha256': '6ce37c55d120d08d4c5ea6c6d62d446bc0e612ec8470fc45a2b2ed987e000a10', 'size': 200644, 'width': 2400}",35.848376750946045,1,1743269529.8176978,{'runtime': 34},23,14.04297161102295,109,123.04297161102296
mpljo50q_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_84b966c6de5896c7f28e.png', 'sha256': '84b966c6de5896c7f28eb79c3ae9c871632dea2e099fddc502a212c48378ca08', 'size': 182401, 'width': 2400}",64.21290731430054,1,1743269600.5384293,{'runtime': 62},50,110.44075775146484,0,110.44075775146484
9140li42_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_542090d2bf20e364d2b7.png', 'sha256': '542090d2bf20e364d2b7ba2c54e133ca4bc463b9a7b7e429f5cecd2c86181277', 'size': 188084, 'width': 2400}",35.47504377365112,1,1743269642.5546277,{'runtime': 33},22,12.516358375549316,113,125.51635837554932
xx35nmsz_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_7f557705df7c39daf8ce.png', 'sha256': '7f557705df7c39daf8ce2e58989fb9428a39d5fce9b1bd6f20444ad3c0641be4', 'size': 194907, 'width': 2400}",44.924386978149414,1,1743269691.678204,{'runtime': 43},22,13.113235473632812,114,127.1132354736328
