name,Trajectory on real rc car,_runtime,_step,_timestamp,_wandb,number of actions,reward_from_observations,terminal_reward,total_reward
7bhn1uhw_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_2e02ae639b19ec840fda.png', 'sha256': '2e02ae639b19ec840fda2d339416f468c7e1c00dda29ac216aa3980b44da7933', 'size': 213556, 'width': 2400}",34.096041202545166,1,1743250269.6938322,{'runtime': 33},50,25.412240982055664,0,25.412240982055664
roue0qyl_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_44e132c3cb6badb88132.png', 'sha256': '44e132c3cb6badb8813282416fc46434d7c4d97272fc7a172d125ace4d665ab1', 'size': 244141, 'width': 2400}",53.365713357925415,1,1743250327.1751754,{'runtime': 51},51,55.339820861816406,0,55.339820861816406
3zp91vdf_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_cdf15ca902556d69f3f0.png', 'sha256': 'cdf15ca902556d69f3f0f40635fb6e347add9cbc8f80122e54e0c4a512633299', 'size': 229305, 'width': 2400}",79.61173367500305,1,1743250411.8708916,{'runtime': 77},51,28.03873634338379,0,28.03873634338379
1za7icoi_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_aad13538011fe5966af1.png', 'sha256': 'aad13538011fe5966af1b5764391f3d158999a7a660abe91081c0deb39069977', 'size': 210979, 'width': 2400}",72.46018266677856,1,1743250488.1321166,{'runtime': 70},50,25.585351943969727,0,25.585351943969727
kq8u696e_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_b5abec94b231ca3fa26a.png', 'sha256': 'b5abec94b231ca3fa26a1d81d04d33e41aa8c8fc888e89a6f2fb25d39d7cc8e8', 'size': 191929, 'width': 2400}",44.51264667510986,1,1743250537.0013847,{'runtime': 42},51,37.88233184814453,0,37.88233184814453
