,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,42.79352993965149,1.0,1743269590.5377693,33.4,50.70038986206055,67.2,117.90038986206055
std,12.760941571766281,0.0,82.48575747476283,15.15915564930976,51.3798173938369,61.37344702719572,10.435073627637289
min,33.50693488121033,1.0,1743269488.0998888,22.0,12.516358375549316,0.0,103.3886260986328
25%,35.47504377365112,1.0,1743269529.8176978,22.0,13.113235473632812,0.0,110.44075775146484
50%,35.848376750946045,1.0,1743269600.5384293,23.0,14.04297161102295,109.0,123.04297161102296
75%,44.924386978149414,1.0,1743269642.5546277,50.0,103.3886260986328,113.0,125.51635837554932
max,64.21290731430054,1.0,1743269691.678204,50.0,110.44075775146484,114.0,127.1132354736328
