,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,39.832501316070555,1.0,1743269197.0220132,51.4,67.7678358078003,47.2,114.9678358078003
std,5.790371274044253,0.0,70.61163125382376,21.361179742701477,51.33331912361818,64.6312617856096,15.50591901281501
min,32.97741913795471,1.0,1743269108.5552964,28.0,11.113527297973633,0.0,95.3427505493164
25%,37.432199478149414,1.0,1743269152.6991322,28.0,13.03441333770752,0.0,104.09255981445312
50%,39.15045523643494,1.0,1743269197.4732509,67.0,95.3427505493164,0.0,115.25592803955078
75%,40.8314208984375,1.0,1743269236.769535,67.0,104.09255981445312,118.0,129.11352729797363
max,48.77101182937622,1.0,1743269289.6128497,67.0,115.25592803955078,118.0,131.03441333770752
