name,Trajectory on real rc car,_runtime,_step,_timestamp,_wandb,number of actions,reward_from_observations,terminal_reward,total_reward
ftty1t6o_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_8262dff84682af98210c.png', 'sha256': '8262dff84682af98210c64a47026ceb4abb802b31354b3b9a3606b5cd785c49d', 'size': 182477, 'width': 2400}",29.177425861358643,1,1743269984.309867,{'runtime': 28},25,59.31813430786133,0,59.31813430786133
4fhb1q0f_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_8a9f75f49a150fdcb902.png', 'sha256': '8a9f75f49a150fdcb9028f1127ca7ce63bebceaa59cc057f6efa85de4f8e7ccc', 'size': 199932, 'width': 2400}",45.40052819252014,1,1743270034.9182851,{'runtime': 42},25,79.25774383544922,0,79.25774383544922
1i916of3_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_c95e7f6380cc2aefada0.png', 'sha256': 'c95e7f6380cc2aefada0b19be2fa263528db1af9e78d3a3e0a123aeb3577ddbb', 'size': 186531, 'width': 2400}",37.86449980735779,1,1743270079.241582,{'runtime': 35},25,41.77913284301758,0,41.77913284301758
rirs1len_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_a815ee680130b0ac32fb.png', 'sha256': 'a815ee680130b0ac32fb64f2b393418d9b50b4fac012772964b9cbdde02b25e2', 'size': 176812, 'width': 2400}",62.49094891548157,1,1743270146.6584618,{'runtime': 60},25,78.48633575439453,0,78.48633575439453
nmxcuqjm_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_5dadce759dbdd2c59d4c.png', 'sha256': '5dadce759dbdd2c59d4c7f6742c78f4af9a4c4c52d3e0247277bde13ad128785', 'size': 195061, 'width': 2400}",36.96286416053772,1,1743270190.0402212,{'runtime': 35},26,85.92169189453125,0,85.92169189453125
