,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,55.24827637672424,1.6,1742932843.8635032,67.0,88.62925796508789,0.0,88.62925796508789
std,6.175164752218232,0.8944271909999159,96.97949216910152,0.0,15.820502111814067,0.0,15.820502111814067
min,44.932825803756714,1.0,1742932722.0852363,67.0,61.091556549072266,0.0,61.091556549072266
25%,55.09909629821777,1.0,1742932782.0032763,67.0,91.03453826904295,0.0,91.03453826904295
50%,57.27395749092102,1.0,1742932844.2167854,67.0,93.60907745361328,0.0,93.60907745361328
75%,57.68049836158752,2.0,1742932902.59263,67.0,96.56307220458984,0.0,96.56307220458984
max,61.255003929138184,3.0,1742932968.419589,67.0,100.8480453491211,0.0,100.8480453491211
