,_runtime,_step,_timestamp,number of actions,reward from observations,terminal reward,total reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,23.21196588,0.0,1743680818.6218534,175.2,97.31162910461425,24.8,122.11162910461425
std,3.4839176619884316,0.0,40.65594821969896,55.45448584199479,53.38557329867096,55.45448584199479,34.24403839256807
min,17.8774904,0.0,1743680766.5454323,76.0,20.657350540161133,0.0,76.93032836914062
25%,21.9921001,0.0,1743680794.344503,200.0,76.93032836914062,0.0,93.41553497314452
50%,23.7772715,0.0,1743680817.5435152,200.0,93.41553497314452,0.0,144.65735054016113
75%,25.7868508,0.0,1743680844.8628802,200.0,147.67498779296875,0.0,147.67498779296875
max,26.6261166,0.0,1743680869.8129349,200.0,147.87994384765625,124.0,147.87994384765625
