name,_runtime,_step,_timestamp,_wandb,number of actions,reward from observations,terminal reward,total reward
wmuijhzieval,35.8255978,0,1743679130.6164525,{'runtime': 35},200,131.22645568847656,0,131.22645568847656
3ft20fzieval,32.7635281,0,1743679164.4566884,{'runtime': 32},200,96.0051040649414,0,96.0051040649414
4grcvcyneval,34.9659371,0,1743679200.5416503,{'runtime': 34},200,95.3595733642578,0,95.3595733642578
lj98z23meval,36.5862373,0,1743679238.2256508,{'runtime': 36},200,130.4611053466797,0,130.4611053466797
ybkj08taeval,24.4099971,0,1743679263.724319,{'runtime': 24},63,11.03322410583496,137,148.03322410583496
