name,Trajectory on real rc car,_runtime,_step,_timestamp,_wandb,number of actions,reward_from_observations,terminal_reward,total_reward
mzgkq9gaunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_5920d6b2e55c451891fc.png', 'sha256': '5920d6b2e55c451891fc1347c6a6a78b57c822f238225b2352872a3908447ccd', 'size': 194310, 'width': 2400}",29.724647045135494,1,1742931477.436262,{'runtime': 28},100,131.42137145996094,0,131.42137145996094
2s5kjr42unique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_31c7ad7db81cece9fda3.png', 'sha256': '31c7ad7db81cece9fda32933a85124e54d6e1a61b76cf7eb3cf2d6b09510ef1f', 'size': 231154, 'width': 2400}",75.10131025314331,1,1742931651.7571993,{'runtime': 73},85,59.27000045776367,30,89.27000045776367
sjfuxv51unique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_f3098524c8ad91411e41.png', 'sha256': 'f3098524c8ad91411e413f28135768bf58be64867c6663dafd2c380ff94c945b', 'size': 228725, 'width': 2400}",66.1062798500061,1,1742931723.7521615,{'runtime': 64},100,120.98309326171876,0,120.98309326171876
lbgxs5spunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_385f90c94cab77a71561.png', 'sha256': '385f90c94cab77a7156158922a88b8222e83161bd2342864a1e71115b16c0e4a', 'size': 216733, 'width': 2400}",62.83713173866272,1,1742931793.3440197,{'runtime': 60},100,114.77706146240234,0,114.77706146240234
9sjvzv9kunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_ec840c673adee298610e.png', 'sha256': 'ec840c673adee298610effe7011337a258f3203d473ac4b8f475e24ff8036abb', 'size': 189409, 'width': 2400}",56.86870050430298,1,1742931856.2794244,{'runtime': 55},100,38.89363098144531,0,38.89363098144531
