,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,4.0,4.0,4.0,4.0,4.0,4.0,4.0
mean,70.55752748250961,1.0,1742930718.6919146,200.0,104.32042694091797,0.0,104.32042694091797
std,25.78469686440996,0.0,113.5717068448995,0.0,41.664825854629925,0.0,41.664825854629925
min,36.68326449394226,1.0,1742930595.1235194,200.0,52.55427551269531,0.0,52.55427551269531
25%,58.582033932209015,1.0,1742930648.2434037,200.0,79.79776000976562,0.0,79.79776000976562
50%,74.65234875679016,1.0,1742930711.1446161,200.0,111.42472076416016,0.0,111.42472076416016
75%,86.62784230709076,1.0,1742930781.593127,200.0,135.9473876953125,0.0,135.9473876953125
max,96.24214792251588,1.0,1742930857.3549058,200.0,141.87799072265625,0.0,141.87799072265625
