name,Trajectory on real rc car,_runtime,_step,_timestamp,_wandb,number of actions,reward_from_observations,terminal_reward,total_reward
wzl6uv83_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_b9404af7e3c5ad20e3a9.png', 'sha256': 'b9404af7e3c5ad20e3a9c7177efbff9030c0e64fa6cba1962d2e9aabd446e4bc', 'size': 187735, 'width': 2400}",30.08722710609436,1,1743268419.6475842,{'runtime': 29},100,126.35120391845705,0,126.35120391845705
u6wta4h2_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_7f01c6b1da7dfe5e8329.png', 'sha256': '7f01c6b1da7dfe5e83299be42e2c206ff31d7ce693e9afe39546996d59b1e861', 'size': 189792, 'width': 2400}",44.38735795021057,1,1743268469.436529,{'runtime': 42},100,93.27794647216795,0,93.27794647216795
nfzivalo_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_0a757bfe5743ee986bcc.png', 'sha256': '0a757bfe5743ee986bcc8b802242efdca1b34517644fc616b39198ea60fe6ba2', 'size': 188391, 'width': 2400}",43.73213481903076,1,1743268517.9235609,{'runtime': 42},100,87.68658447265625,0,87.68658447265625
h03f49cz_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_6aa72165ab697cdc4a2f.png', 'sha256': '6aa72165ab697cdc4a2ff12a837679f9c640f7c1e3bf48596c52899917da3efa', 'size': 193381, 'width': 2400}",38.19021224975586,1,1743268561.6245043,{'runtime': 36},39,12.45956039428711,123,135.4595603942871
ujofqgfq_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_583fa0aa8981df772f98.png', 'sha256': '583fa0aa8981df772f98aa431359379fffe12f6bf06006154afbb4be863131f4', 'size': 178094, 'width': 2400}",39.373865842819214,1,1743268607.0589578,{'runtime': 37},100,128.32911682128906,0,128.32911682128906
