name,Trajectory on real rc car,_runtime,_step,_timestamp,_wandb,number of actions,reward_from_observations,terminal_reward,total_reward
l0zf6h8n_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_55804c8547854eaed210.png', 'sha256': '55804c8547854eaed210a8e14700f166e7dcc3cac28b571f34e08ce086299337', 'size': 231447, 'width': 2400}",34.68396210670471,1,1743252793.99655,{'runtime': 33},40,71.39080047607422,42,113.39080047607422
h6x10ael_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_b4b2f7e5fdbbc8a73c43.png', 'sha256': 'b4b2f7e5fdbbc8a73c437028bcc57ce4974bdf43ffc632431c20359c332d13fd', 'size': 233109, 'width': 2400}",115.78792667388916,1,1743252914.3501806,{'runtime': 114},50,105.17142486572266,0,105.17142486572266
7p2dc7kf_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_46a85704bb52fcdb6ade.png', 'sha256': '46a85704bb52fcdb6ade965c8db5a2597ee178fa1cfbec51d781a0519bc49cf3', 'size': 236569, 'width': 2400}",57.63663983345032,1,1743252977.3631818,{'runtime': 55},50,97.37229919433594,0,97.37229919433594
n6ky5n0u_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_67917290dcc16ca8ba2f.png', 'sha256': '67917290dcc16ca8ba2f42dd3fb4eef8793f515975ecea783a72086d4f2ccdcb', 'size': 228258, 'width': 2400}",58.16199707984924,1,1743253038.904129,{'runtime': 56},50,80.14871215820312,0,80.14871215820312
n6j8use6_hardware_eval,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_4357ffb4afcb7525319c.png', 'sha256': '4357ffb4afcb7525319c1a43e2c66fef4dd7bdfe83ec27a80f610fbdc9e240d2', 'size': 246788, 'width': 2400}",47.26937985420227,1,1743253090.7352138,{'runtime': 45},50,85.26205444335938,0,85.26205444335938
