,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,56.80926351547241,1.0,1743250406.77468,50.6,34.45169639587402,0.0,34.45169639587402
std,18.999073707023804,0.0,110.3757655175877,0.5477225575051661,12.742967453306704,0.0,12.742967453306704
min,34.096041202545166,1.0,1743250269.6938322,50.0,25.412240982055664,0.0,25.412240982055664
25%,44.51264667510986,1.0,1743250327.1751754,50.0,25.585351943969727,0.0,25.585351943969727
50%,53.365713357925415,1.0,1743250411.8708916,51.0,28.03873634338379,0.0,28.03873634338379
75%,72.46018266677856,1.0,1743250488.1321166,51.0,37.88233184814453,0.0,37.88233184814453
max,79.61173367500305,1.0,1743250537.0013847,51.0,55.339820861816406,0.0,55.339820861816406
