,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,62.70798110961914,1.0,1743252963.069851,48.0,87.86905822753906,8.4,96.26905822753906
std,31.175154947664787,0.0,115.33968228922429,4.47213595499958,13.48718531458551,18.78297101099823,13.735383319340214
min,34.68396210670471,1.0,1743252793.99655,40.0,71.39080047607422,0.0,80.14871215820312
25%,47.26937985420227,1.0,1743252914.3501806,50.0,80.14871215820312,0.0,85.26205444335938
50%,57.63663983345032,1.0,1743252977.3631818,50.0,85.26205444335938,0.0,97.37229919433594
75%,58.16199707984924,1.0,1743253038.904129,50.0,97.37229919433594,0.0,105.17142486572266
max,115.78792667388916,1.0,1743253090.7352138,50.0,105.17142486572266,42.0,113.39080047607422
