name,Trajectory on real rc car,_runtime,_step,_timestamp,_wandb,number of actions,reward_from_observations,terminal_reward,total_reward
ykrge3mqunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_11d33cde505a4db77e3d.png', 'sha256': '11d33cde505a4db77e3dafdb5ca8fc4bd6424eaf96fb7b939ecbf6f453cfbcd7', 'size': 266598, 'width': 2400}",31.13178849220276,1,1742933488.0230114,{'runtime': 30},67,90.37840270996094,0,90.37840270996094
xyv96hzaunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_c3ded2a01d2fe89cd17e.png', 'sha256': 'c3ded2a01d2fe89cd17e2bba8533f68cb9b16a3e0976540f132b4c491070f115', 'size': 206978, 'width': 2400}",43.45493149757385,1,1742933536.4383554,{'runtime': 41},67,49.03693008422851,0,49.03693008422851
sbjdordxunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_68c5769b4817ec9fda95.png', 'sha256': '68c5769b4817ec9fda95eaf97556743eaf30409e012e16e8df7bf1ccc78064fd', 'size': 210239, 'width': 2400}",49.202226638793945,1,1742933589.338261,{'runtime': 47},67,46.13570785522461,0,46.13570785522461
ootoqn8cunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_e95d4e4d55ffa646e0a7.png', 'sha256': 'e95d4e4d55ffa646e0a70a6d61d76df892444d4aad2db294ade2b3f712877c80', 'size': 224576, 'width': 2400}",50.244662284851074,1,1742933643.6203864,{'runtime': 48},67,62.33937454223633,0,62.33937454223633
5usghxplunique_f,"{'_type': 'image-file', 'format': 'png', 'height': 1200, 'path': 'media/images/Trajectory on real rc car_1_e167109813c0bb066933.png', 'sha256': 'e167109813c0bb0669337b3bd782a6e10118812bcc81f47a23d08602ad652bd8', 'size': 260990, 'width': 2400}",41.864896297454834,1,1742933691.5175602,{'runtime': 40},67,15.687318801879885,0,15.687318801879885
