,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,51.613251733779904,1.0,1743253344.1139145,25.2,49.31816177368164,0.0,49.31816177368164
std,13.943740040521591,0.0,97.45096646876354,0.4472135954999579,14.724647512416192,0.0,14.724647512416192
min,28.502543449401855,1.0,1743253216.1559803,25.0,23.69717788696289,0.0,23.69717788696289
25%,50.140997886657715,1.0,1743253285.6881738,25.0,51.377662658691406,0.0,51.377662658691406
50%,56.681872844696045,1.0,1743253347.4238908,25.0,53.95464324951172,0.0,53.95464324951172
75%,57.81068181991577,1.0,1743253408.9017627,25.0,57.04719543457031,0.0,57.04719543457031
max,64.93016266822815,1.0,1743253462.3997638,26.0,60.514129638671875,0.0,60.514129638671875
