,_runtime,_step,_timestamp,number of actions,reward_from_observations,terminal_reward,total_reward
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,58.12761387825012,1.0,1742931700.5138135,97.0,93.0690315246582,6.0,99.0690315246582
std,17.19199250813861,0.0,146.25422643536947,6.708203932499369,41.22706607930613,13.416407864998739,37.04977073483796
min,29.724647045135494,1.0,1742931477.436262,85.0,38.89363098144531,0.0,38.89363098144531
25%,56.86870050430298,1.0,1742931651.7571993,100.0,59.27000045776367,0.0,89.27000045776367
50%,62.83713173866272,1.0,1742931723.7521615,100.0,114.77706146240234,0.0,114.77706146240234
75%,66.1062798500061,1.0,1742931793.3440197,100.0,120.98309326171876,0.0,120.98309326171876
max,75.10131025314331,1.0,1742931856.2794244,100.0,131.42137145996094,30.0,131.42137145996094
