,Number of actions,Total reward ,_runtime,_step,_timestamp,eval/avg_episode_length,eval/episode_reward,eval/episode_reward/action_rate,eval/episode_reward/action_rate_std,eval/episode_reward/ang_vel_xy,eval/episode_reward/ang_vel_xy_std,eval/episode_reward/dof_pos_limits,eval/episode_reward/dof_pos_limits_std,eval/episode_reward/energy,eval/episode_reward/energy_std,eval/episode_reward/feet_air_time,eval/episode_reward/feet_air_time_std,eval/episode_reward/feet_clearance,eval/episode_reward/feet_clearance_std,eval/episode_reward/feet_height,eval/episode_reward/feet_height_std,eval/episode_reward/feet_slip,eval/episode_reward/feet_slip_std,eval/episode_reward/lin_vel_z,eval/episode_reward/lin_vel_z_std,eval/episode_reward/orientation,eval/episode_reward/orientation_std,eval/episode_reward/pose,eval/episode_reward/pose_std,eval/episode_reward/stand_still,eval/episode_reward/stand_still_std,eval/episode_reward/termination,eval/episode_reward/termination_std,eval/episode_reward/torques,eval/episode_reward/torques_std,eval/episode_reward/tracking_ang_vel,eval/episode_reward/tracking_ang_vel_std,eval/episode_reward/tracking_lin_vel,eval/episode_reward/tracking_lin_vel_std,eval/episode_reward_std,eval/episode_swing_peak,eval/episode_swing_peak_std,eval/epoch_eval_time,eval/sps,eval/walltime,step,total steps,training/entropy_loss,training/policy_loss,training/sps,training/total_loss,training/v_loss
count,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
mean,1000.0,1409.7128662109376,1099.286096531,21.0,1745575776.3313274,995.421875,29.791756057739256,-5.018099021911621,1.6067421913146973,-11.446660232543945,4.349723482131958,-1.74548476934433e-05,0.0001967061311006546,-93.98633270263672,35.66630096435547,2.3079740047454833,0.48762070536613467,-186.42850341796876,41.90791320800781,-1.839281392097473,1.858460831642151,-8.232807159423828,5.165780258178711,-6.40048770904541,3.047338581085205,-12.153195190429688,7.911083698272705,429.9810729980469,31.440334701538085,-5.010115146636963,21.883240509033204,-0.0078125,0.07762935906648635,-11.09548568725586,1.2187370777130127,476.1885070800781,24.548416423797608,920.7670532226563,58.84853057861328,3.017027473449707,43.70885009765625,9.315910720825196,1.752208137512207,73054.42325356443,79.55815405845642,178257920.0,200540160.0,0.10827012360095978,-0.013284606114029884,257138.13125,0.0954303964972496,0.0004448789113666862
std,0.0,56.45882914136442,23.13147634612467,0.0,23.1849087286185,5.092782332356806,0.23806993465789827,0.14698605533848158,0.09046158060461244,0.7913009634273908,0.4730382879350013,3.903022597944463e-05,0.00043984828073204927,2.6344992276580763,1.492496284629111,0.0723905263997489,0.0554608694786892,6.093951053682174,1.568009859533917,0.15967201811709952,0.15316249872045368,0.5051109558949247,0.267529977206695,1.9187141165707742,1.0980502530846499,0.9577250055882068,1.1973644436371176,4.465899836634855,12.059875741896416,2.955208700314495,10.462265793632065,0.005524271728019903,0.04610766071525897,0.07194486024890488,0.19790290591348172,1.958472456227111,18.067442844164407,4.974975770443282,28.613040129410734,0.7027155854093983,0.6541047862893137,0.8731563022063844,0.014023181107961134,584.3102431508773,1.2778636471889622,0.0,0.0,0.0006740377216833999,0.00021269018797757084,5620.1233931883635,0.0006188402961103729,7.642471095161516e-06
min,1000.0,1347.1485595703125,1070.302097964,21.0,1745575747.703288,987.5234375,29.574079513549805,-5.176708698272705,1.4861102104187012,-12.820112228393556,3.932080030441284,-8.727423846721649e-05,0.0,-98.58392333984376,33.31721496582031,2.19038987159729,0.4165949523448944,-194.94285583496097,40.39280319213867,-2.015859842300415,1.6627403497695925,-8.829201698303223,4.830200672149658,-9.827436447143556,2.4423184394836426,-13.242963790893556,6.291984558105469,425.2933349609375,19.27756690979004,-10.18096160888672,13.81773567199707,-0.015625,0.0,-11.184582710266112,1.0314617156982422,473.2502746582031,7.106156826019287,912.6705932617188,32.69194793701172,2.4177751541137695,42.960472106933594,8.14354133605957,1.7333767414093018,72240.9514954243,77.48257565498352,178257920.0,200540160.0,0.1073702871799469,-0.013571814633905888,252271.890625,0.09476807713508606,0.00043788633774966
25%,1000.0,1382.0482177734375,1077.948767369,21.0,1745575754.4622452,994.65625,29.61012840270996,-5.170689582824707,1.5794169902801514,-11.43272876739502,4.051255702972412,0.0,0.0,-93.51651000976562,35.31575393676758,2.293592691421509,0.4486889243125915,-189.55160522460935,40.65681838989258,-1.9955079555511477,1.7646986246109009,-8.47276496887207,5.051253318786621,-5.688332557678223,2.4498062133789062,-12.44830322265625,6.974682331085205,425.7347717285156,21.281429290771484,-4.434686183929443,17.514034271240234,-0.0078125,0.08804240077733994,-11.117679595947266,1.045563578605652,475.25048828125,7.369577407836914,919.5440673828124,34.36343765258789,2.500704050064087,43.181785583496094,8.86596965789795,1.7482895851135254,72836.01444263523,79.61264681816101,178257920.0,200540160.0,0.10772791504859924,-0.013397721573710442,252911.84375,0.09479022771120071,0.0004395954019855708
50%,1000.0,1408.219482421875,1115.331953164,21.0,1745575791.920805,995.0703125,29.685388565063477,-4.974695205688477,1.6108001470565796,-11.025945663452148,4.086088180541992,0.0,0.0,-93.0316925048828,35.853492736816406,2.3245925903320312,0.4947904944419861,-185.0723876953125,41.4030647277832,-1.8024930953979492,1.8438720703125,-8.38863468170166,5.067209243774414,-5.595624923706055,2.5818140506744385,-12.401519775390623,8.569979667663574,430.1549072265625,32.4448356628418,-4.216524124145508,18.64547538757324,-0.0078125,0.08804240077733994,-11.111799240112305,1.1854326725006104,476.7718505859375,28.113370895385746,922.467041015625,59.0597038269043,2.994124174118042,43.70658493041992,9.397541999816896,1.7501537799835205,73136.43033197074,79.63653564453125,178257920.0,200540160.0,0.10868237912654875,-0.013285203836858273,255134.1875,0.09558499604463576,0.0004405643267091364
75%,1000.0,1411.630615234375,1116.294355068,21.0,1745575793.6529362,999.859375,29.984710693359375,-4.895094394683838,1.6192591190338137,-10.991137504577637,4.636992931365967,0.0,0.0,-92.87834167480467,36.72520065307617,2.365452289581299,0.5247102975845337,-183.69667053222656,43.11387252807617,-1.716048002243042,1.99836003780365,-7.949777603149414,5.427483558654785,-5.484193325042725,2.765176057815552,-12.04332160949707,8.81638240814209,433.533447265625,34.94328689575195,-3.17057466506958,19.221923828125,-0.0078125,0.08804240077733994,-11.075648307800291,1.3350807428359983,477.65130615234375,29.79460906982422,924.4442138671876,65.09703063964844,2.9942569732666016,44.17848205566406,9.712618827819824,1.7573723793029783,73214.41544347374,80.12481260299683,178257920.0,200540160.0,0.10870309174060822,-0.01313559990376234,259586.390625,0.09598638117313384,0.0004526370612438768
max,1000.0,1499.5174560546875,1116.55330909,21.0,1745575793.9173627,1000.0,30.104473114013672,-4.873307228088379,1.7381244897842407,-10.963376998901367,5.042200565338135,0.0,0.000983530655503273,-91.92119598388672,37.119842529296875,2.365842580795288,0.5533188581466675,-178.87899780273438,43.97300720214844,-1.666498064994812,2.0226330757141113,-7.523656845092773,5.452754497528076,-5.406851291656494,4.997578144073486,-10.629867553710938,8.902389526367188,435.18890380859375,49.25455474853515,-3.0478291511535645,40.21703338623047,0.0,0.124019593000412,-10.98771858215332,1.4961466789245603,478.01861572265625,50.358367919921875,924.7093505859376,103.03053283691406,4.178277015686035,44.51692581176758,10.459881782531738,1.771848201751709,73844.30455431812,80.9341995716095,178257920.0,200540160.0,0.10886694490909576,-0.01303269062191248,265786.34375,0.09602230042219162,0.00045371142914518714
